,name,company,year,Price,kms_driven,fuel_type
0,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol
1,Ford Figo,Ford,2012,175000,41000,Diesel
2,Hyundai Eon,Hyundai,2013,190000,25000,Petrol
3,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol
4,Hyundai Santro Xing,Hyundai,2007,80000,45000,Petrol
5,Maruti Suzuki Alto,Maruti,2014,160000,35550,Petrol
6,Maruti Suzuki Alto,Maruti,2015,75000,39000,Petrol
7,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
8,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
9,Hyundai i20 Sportz,Hyundai,2012,100000,55000,Petrol
10,Maruti Suzuki Alto,Maruti,2017,190000,72000,Petrol
11,Maruti Suzuki Alto,Maruti,2008,95000,70000,Petrol
12,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel
13,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
14,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
15,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
16,Mahindra Bolero DI,Mahindra,2017,180000,23452,Diesel
17,Maruti Suzuki Swift,Maruti,2017,180000,15487,Petrol
18,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
19,Maruti Suzuki Wagon,Maruti,2013,105000,39000,Petrol
20,Honda City ZX,Honda,2017,170000,15000,Diesel
21,Maruti Suzuki Wagon,Maruti,2013,85000,29685,Petrol
22,Ford Figo,Ford,2012,175000,41000,Diesel
23,Hyundai Eon,Hyundai,2013,190000,25000,Petrol
24,Skoda Fabia Classic,Skoda,2010,182000,60000,Petrol
25,Chevrolet Spark LS,Chevrolet,2010,110000,41000,Petrol
26,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
27,Hyundai i20 Magna,Hyundai,2009,195000,32000,Petrol
28,Hyundai Verna Transform,Hyundai,2008,160000,45000,Petrol
29,Honda City 1.5,Honda,2005,90000,50000,Petrol
30,Skoda Fabia 1.2L,Skoda,2011,155000,45863,Diesel
31,Maruti Suzuki A,Maruti,2011,189500,12500,Petrol
32,Chevrolet Beat LT,Chevrolet,2012,135000,45000,Diesel
33,Maruti Suzuki Alto,Maruti,2012,155000,14000,Petrol
34,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
35,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
36,Chevrolet Spark,Chevrolet,2012,158400,33600,Petrol
37,Nissan Micra XV,Nissan,2011,179000,41000,Petrol
38,Maruti Suzuki Swift,Maruti,2007,125000,70000,Petrol
39,Chevrolet Beat,Chevrolet,2015,150000,30000,Petrol
40,Tata Indica V2,Tata,2006,90000,20000,Petrol
41,Chevrolet Spark LT,Chevrolet,2010,85000,45000,Petrol
42,Maruti Suzuki Swift,Maruti,2010,189500,38500,Diesel
43,Fiat Punto Emotion,Fiat,2012,169500,37200,Diesel
44,Maruti Suzuki Swift,Maruti,2010,159500,43200,Diesel
45,Hyundai i10 Sportz,Hyundai,2010,168000,45872,Petrol
46,Chevrolet Beat LT,Chevrolet,2011,150000,40000,Diesel
47,Chevrolet Beat LS,Chevrolet,2011,145000,45000,Diesel
48,Chevrolet Beat LT,Chevrolet,2012,98500,38000,Diesel
49,Tata Indigo CS,Tata,2011,85000,11400,Diesel
50,Hyundai Eon Era,Hyundai,2013,185000,27000,Petrol
51,Maruti Suzuki Wagon,Maruti,2012,199999,44000,Petrol
52,Hyundai i20,Hyundai,2009,199000,31000,Petrol
53,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol
54,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
55,Hyundai Santro Xing,Hyundai,2005,49000,7500,Petrol
56,Maruti Suzuki Zen,Maruti,2000,55000,60000,Petrol
57,Maruti Suzuki Alto,Maruti,2011,145000,41000,Petrol
58,Tata Nano Cx,Tata,2013,40000,2200,Petrol
59,Maruti Suzuki Alto,Maruti,2013,125000,39000,Petrol
60,Maruti Suzuki Wagon,Maruti,2009,135000,45000,Petrol
61,Maruti Suzuki Swift,Maruti,2006,135000,45000,Petrol
62,Maruti Suzuki Wagon,Maruti,2010,145000,54870,Petrol
63,Maruti Suzuki Alto,Maruti,2010,135000,34580,Petrol
64,Honda City ZX,Honda,2008,110000,45000,Petrol
65,Maruti Suzuki Wagon,Maruti,2006,80000,71200,Petrol
66,Hyundai Eon Sportz,Hyundai,2012,178000,30000,Petrol
67,Maruti Suzuki Wagon,Maruti,2003,90000,45000,Petrol
68,Maruti Suzuki Esteem,Maruti,2006,95000,45000,Petrol
69,Ford Figo Diesel,Ford,2014,195000,50000,Diesel
70,Maruti Suzuki Esteem,Maruti,2007,69999,51000,Petrol
71,Maruti Suzuki Maruti,Maruti,2003,57000,56758,Petrol
72,Chevrolet Beat LS,Chevrolet,2010,120000,43000,Petrol
73,Hyundai Santro Xing,Hyundai,2000,59000,56450,Petrol
74,Chevrolet Beat LS,Chevrolet,2010,80000,56000,Petrol
75,Fiat Petra ELX,Fiat,2008,75000,65000,Petrol
76,Skoda Fabia 1.2L,Skoda,2011,159500,38200,Diesel
77,Hyundai Accent GLX,Hyundai,2006,80000,56000,Petrol
78,Tata Indica V2,Tata,2008,150000,11000,Petrol
79,Tata Indigo CS,Tata,2009,72500,46000,Diesel
80,Honda Accord,Honda,2009,175000,58559,Petrol
81,Toyota Corolla Altis,Toyota,2009,199999,65000,Petrol
82,Volkswagen Polo,Volkswagen,2010,199999,60000,Diesel
83,Tata Manza Aura,Tata,2012,130000,72000,Diesel
84,Hyundai Eon,Hyundai,2014,174999,14000,Petrol
85,Hyundai Accent,Hyundai,2010,99999,45000,Petrol
86,Chevrolet Spark LT,Chevrolet,2009,110000,44000,Petrol
87,Tata Vista Quadrajet,Tata,2011,120000,90000,Diesel
88,Maruti Suzuki Zen,Maruti,2003,85000,69900,Petrol
89,Hyundai i10 Magna,Hyundai,2011,175000,45000,Petrol
90,Honda City ZX,Honda,2008,149000,42000,Petrol
91,Chevrolet Beat Diesel,Chevrolet,2017,150000,62000,Diesel
92,Maruti Suzuki Maruti,Maruti,1995,30000,55000,Petrol
93,Maruti Suzuki Versa,Maruti,2004,80000,50000,Petrol
94,Tata Indigo LX,Tata,2016,130000,104000,Diesel
95,Honda City,Honda,2000,65000,80000,Petrol
96,Hyundai Santro Xing,Hyundai,2006,75000,46000,Petrol
97,Maruti Suzuki Omni,Maruti,2001,70000,70000,Petrol
98,Hyundai Sonata Transform,Hyundai,2017,190000,36469,Diesel
99,Maruti Suzuki Alto,Maruti,2011,155000,32000,Petrol
100,Honda Jazz S,Honda,2009,169999,24695,Petrol
101,Maruti Suzuki Zen,Maruti,2001,40000,40000,Petrol
102,Mahindra Scorpio W,Mahindra,2012,165000,65000,Diesel
103,Chevrolet Spark LS,Chevrolet,2010,95000,23000,Petrol
104,Ford Ikon 1.3,Ford,2001,45000,65000,Petrol
105,Tata Manza ELAN,Tata,2010,155555,111111,Petrol
106,Tata Indigo LS,Tata,2016,125000,70000,Diesel
107,Hyundai i20 Magna,Hyundai,2010,195000,36000,Petrol
108,Mahindra Logan Diesel,Mahindra,2009,130000,66000,Petrol
109,Tata Nano GenX,Tata,2010,32000,44005,Petrol
110,Ford Figo Petrol,Ford,2011,175000,75000,Petrol
111,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
112,Hyundai Eon Era,Hyundai,2018,140000,2110,Petrol
113,Toyota Corolla H2,Toyota,2003,150000,100000,Petrol
114,Tata Indigo CS,Tata,2015,123000,100000,Diesel
115,Hyundai Accent Executive,Hyundai,2009,165000,48000,Petrol
116,Maruti Suzuki 800,Maruti,2001,55000,81876,Petrol
117,Maruti Suzuki Versa,Maruti,2004,90000,50000,Petrol
118,Hyundai Verna 1.6,Hyundai,2016,195000,56000,Diesel
119,Maruti Suzuki Swift,Maruti,2007,130000,62000,Petrol
120,Maruti Suzuki Omni,Maruti,2014,190000,6020,Petrol
121,Tata Indica,Tata,2005,80000,42000,Petrol
122,Hyundai Santro Xing,Hyundai,2003,120000,50000,Petrol
123,Maruti Suzuki Zen,Maruti,2010,149000,35000,Petrol
124,Maruti Suzuki Wagon,Maruti,2007,120000,7000,Petrol
125,Maruti Suzuki Zen,Maruti,2003,99999,53000,Petrol
126,Maruti Suzuki Zen,Maruti,2008,135000,23000,Petrol
127,Maruti Suzuki Alto,Maruti,2010,99000,22134,Petrol
128,Tata Nano Lx,Tata,2010,52000,9000,Petrol
129,Hyundai Eon Magna,Hyundai,2014,190000,35000,Petrol
130,Hindustan Motors Ambassador,Hindustan,2002,90000,25000,Diesel
131,Maruti Suzuki Ritz,Maruti,2010,149000,40000,Petrol
132,Hyundai Eon D,Hyundai,2016,120000,87000,Petrol
133,Maruti Suzuki Estilo,Maruti,2013,180000,65000,Petrol
134,Mitsubishi Lancer 1.8,Mitsubishi,2006,85000,50000,Petrol
135,Maruti Suzuki Maruti,Maruti,2001,40000,75000,Petrol
136,Maruti Suzuki Alto,Maruti,2015,90000,55800,Petrol
137,Maruti Suzuki Ritz,Maruti,2010,180000,72160,Diesel
138,Maruti Suzuki Wagon,Maruti,2006,90001,48000,Petrol
139,Maruti Suzuki Estilo,Maruti,2007,115000,36000,Petrol
140,Maruti Suzuki Wagon,Maruti,2003,130000,133000,Petrol
141,Maruti Suzuki Wagon,Maruti,2009,159000,27000,Petrol
142,Maruti Suzuki Wagon,Maruti,2009,160000,35000,Petrol
143,Maruti Suzuki Alto,Maruti,2010,110000,55000,Petrol
144,Maruti Suzuki Swift,Maruti,2009,150000,45000,Petrol
145,Hyundai Getz Prime,Hyundai,2009,110000,20000,Petrol
146,Hyundai Santro,Hyundai,2000,51999,88000,Petrol
147,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol
148,Tata Indica V2,Tata,2005,35000,150000,Diesel
149,Tata Nano,Tata,2013,60000,6800,Petrol
150,Maruti Suzuki Swift,Maruti,2011,140000,65000,Diesel
151,Maruti Suzuki Alto,Maruti,2014,199000,37000,Petrol
152,Hyundai Accent GLE,Hyundai,2006,90000,55000,Petrol
153,Chevrolet Spark 1.0,Chevrolet,2011,100000,27000,Petrol
154,Toyota Etios Liva,Toyota,2014,160000,24652,Petrol
155,Maruti Suzuki Omni,Maruti,2012,160000,14000,Petrol
156,Tata Zest Quadrajet,Tata,2017,180000,90000,Diesel
157,Tata Indigo CS,Tata,2016,150000,104000,Diesel
158,Hyundai i10 Era,Hyundai,2011,175000,30000,Petrol
159,Tata Indigo eCS,Tata,2014,95000,195000,Diesel
160,Tata Indigo Marina,Tata,2004,180000,70000,Diesel
161,Hyundai Eon Magna,Hyundai,2013,185000,23000,Petrol
162,Maruti Suzuki Alto,Maruti,2009,90000,62000,Petrol
163,Tata Nano LX,Tata,2010,32000,48008,Petrol
164,Maruti Suzuki Swift,Maruti,2006,189700,48247,Petrol
165,Hyundai i10 Magna,Hyundai,2009,170000,75000,Petrol
166,Toyota Corolla Altis,Toyota,2010,185000,55000,Petrol
167,Tata Venture EX,Tata,2013,100000,30000,Diesel
168,Skoda Octavia Classic,Skoda,2006,114990,65000,Diesel
169,Maruti Suzuki Omni,Maruti,2012,120000,160000,LPG
170,Chevrolet Beat Diesel,Chevrolet,2011,125000,56000,Diesel
171,Maruti Suzuki Zen,Maruti,2002,95000,10544,Petrol
172,Ford Ikon 1.6,Ford,2003,60000,50000,Petrol
173,Chevrolet Beat LT,Chevrolet,2012,130000,90001,Diesel
174,Maruti Suzuki Swift,Maruti,2010,190000,74000,Diesel
175,Hyundai Santro Xing,Hyundai,2014,179000,57000,Petrol
176,Maruti Suzuki Zen,Maruti,2003,48000,60000,Petrol
177,Hyundai Eon Era,Hyundai,2013,190000,39700,Petrol
178,Maruti Suzuki Zen,Maruti,2008,125000,46000,Petrol
179,Hyundai Eon Era,Hyundai,2012,188000,38000,Petrol
180,Chevrolet Beat Diesel,Chevrolet,2016,179999,19336,Diesel
181,Tata Indica eV2,Tata,2015,140000,60105,Diesel
182,Honda City 1.5,Honda,2005,120000,68000,Petrol
183,Mahindra Scorpio 2.6,Mahindra,2004,175000,58000,Diesel
184,Maruti Suzuki Omni,Maruti,2009,85000,45000,Petrol
185,Chevrolet Beat LT,Chevrolet,2012,135000,36000,Petrol
186,Mahindra Scorpio SLX,Mahindra,2004,175000,60000,Diesel
187,Honda City ZX,Honda,2006,180000,50000,Petrol
188,Maruti Suzuki Wagon,Maruti,2008,140000,68000,Petrol
189,Maruti Suzuki Omni,Maruti,2009,85000,56000,Petrol
190,Maruti Suzuki Zen,Maruti,2004,70000,100000,Petrol
191,Tata Indigo CS,Tata,2016,110000,85000,Diesel
192,Maruti Suzuki Zen,Maruti,2004,68000,56000,Petrol
193,Maruti Suzuki Wagon,Maruti,2014,130000,37458,Petrol
194,Maruti Suzuki Zen,Maruti,2009,125000,0,Petrol
195,Hyundai Santro AE,Hyundai,2011,165000,45000,Petrol
196,Hyundai Santro,Hyundai,2003,60000,51000,Petrol
197,Hyundai Getz GLE,Hyundai,2007,99000,55000,Petrol
198,Hyundai Santro Xing,Hyundai,2007,115000,46000,Petrol
199,Hyundai Santro Xing,Hyundai,2009,88000,43200,Petrol
200,Hyundai Santro Xing,Hyundai,2007,135000,42000,Petrol
201,Tata Indica V2,Tata,2009,90000,30600,Diesel
202,Hyundai Santro Xing,Hyundai,2007,135000,47000,Petrol
203,Honda City 1.5,Honda,2005,95000,41000,Petrol
204,Honda City 1.5,Honda,2005,115000,68000,Petrol
205,Maruti Suzuki Wagon,Maruti,2004,53000,69000,Petrol
206,Tata Indica eV2,Tata,2012,85000,55000,Diesel
207,Maruti Suzuki Omni,Maruti,2013,165000,25000,Petrol
208,Chevrolet Tavera LS,Chevrolet,2005,130000,68485,Diesel
209,Maruti Suzuki Zen,Maruti,2006,71000,32000,Petrol
210,Ford Fusion 1.4,Ford,2007,125000,85455,Diesel
211,Hyundai Santro Xing,Hyundai,2007,135000,46000,Petrol
212,Hyundai Santro,Hyundai,2002,60000,47000,Petrol
213,Fiat Linea Emotion,Fiat,2009,120000,64000,Petrol
214,Ford Ikon 1.3,Ford,2008,95000,46000,Petrol
215,Tata Indica V2,Tata,2012,115000,64000,Diesel
216,Hyundai Santro Xing,Hyundai,2007,55000,65000,Petrol
217,Toyota Corolla,Toyota,2006,160000,40000,Petrol
218,Tata Sumo Grande,Tata,2010,130000,90000,Diesel
219,Maruti Suzuki Alto,Maruti,2003,42000,60000,Petrol
220,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
221,Maruti Suzuki Swift,Maruti,2009,120000,90000,Diesel
222,Tata Indigo eCS,Tata,2016,130000,150000,Diesel
223,Chevrolet Beat LS,Chevrolet,2014,189000,31000,Diesel
224,Hyundai Eon D,Hyundai,2013,170000,20000,Petrol
225,Tata Nano,Tata,2013,60000,7000,Petrol
226,Maruti Suzuki Alto,Maruti,2005,70000,47000,Petrol
227,Maruti Suzuki Alto,Maruti,2005,100000,40000,Petrol
228,Maruti Suzuki Ritz,Maruti,2010,150000,38000,Diesel
229,Maruti Suzuki Swift,Maruti,2008,162000,60000,Diesel
230,Tata Indica V2,Tata,2005,60000,80000,Diesel
231,Maruti Suzuki Omni,Maruti,2000,35999,60000,Petrol
232,Tata Indica V2,Tata,2005,39999,80000,Diesel
233,Hyundai Santro Xing,Hyundai,2006,85000,60000,Petrol
234,Maruti Suzuki Swift,Maruti,2008,175000,58000,Diesel
235,Mahindra Logan,Mahindra,2009,130000,65000,Diesel
236,Maruti Suzuki 800,Maruti,2000,30000,33400,Petrol
237,Hyundai Santro AE,Hyundai,2003,60000,70000,Petrol
238,Maruti Suzuki Wagon,Maruti,2006,100000,7000,Petrol
239,Tata Manza,Tata,2015,100000,100000,Diesel
240,Hyundai Getz Prime,Hyundai,2009,115000,20000,Petrol
241,Toyota Qualis,Toyota,2003,180000,100000,Diesel
242,Hyundai Santro Xing,Hyundai,2004,45000,137495,Petrol
243,Tata Indica eV2,Tata,2016,50500,91200,Diesel
244,Tata Indigo eCS,Tata,2016,160000,104000,Diesel
245,Hyundai Getz,Hyundai,2006,125000,80000,Petrol
246,Maruti Suzuki Alto,Maruti,2005,95000,65000,Petrol
247,Skoda Fabia,Skoda,2009,110000,45000,Petrol
248,Tata Indica V2,Tata,2009,110000,30000,Diesel
